Distance_(_),Gray_Value
0.1863,-0.00006446
0.2096,-0.00003908
0.2329,-0.00001647
0.2562,-0.00001061
0.2795,0.00000336
0.3028,-0.00005398
0.3261,-0.00002923
0.3494,-0.00000342
0.3727,-0.000005
0.3959,-0.00000494
0.4192,-0.00001269
0.4425,-0.00002308
0.4658,-0.00000972
0.4891,-0.0000114
0.5124,-0.00003784
0.5357,-0.00003726
0.559,-0.00002477
0.5823,-0.00004534
0.6056,-0.00005786
0.6289,-0.00005552
0.6521,-0.0000333
0.6754,-0.00001546
0.6987,-0.00003668
0.722,-0.00001862
0.7453,0.00001397
0.7686,0.00001276
0.7919,-0.00000496
0.8152,-0.00001212
0.8385,-0.00000966
0.8618,-0.00001719
0.8851,-0.00001609
0.9083,-0.00000108
0.9316,0.00000559
0.9549,-0.00000346
0.9782,-0.0000153
1.0015,-0.00000518
1.0248,0.00003122
1.0481,0.0000518
1.0714,0.0000533
1.0947,0.00002785
1.118,-0.00000425
1.1413,-0.0000108
1.1645,0.00001888
1.1878,0.00003605
1.2111,0.00003789
1.2344,0.0000194
1.2577,0.00000985
1.281,0.0000258
1.3043,0.00002204
1.3276,0.00002953
1.3509,0.00003839
1.3742,0.00004461
1.3975,0.00003974
1.4207,0.00002474
1.444,0.0000241
1.4673,0.00004561
1.4906,0.00005137
1.5139,0.00007509
1.5372,0.00009309
1.5605,0.00007695
1.5838,0.00004651
1.6071,0.00002266
1.6304,0.00005075
1.6537,0.00009045
1.6769,0.00010116
1.7002,0.00009927
1.7235,0.00008709
1.7468,0.00008951
1.7701,0.00009513
1.7934,0.00010907
1.8167,0.0001211
1.84,0.00011369
1.8633,0.00010308
1.8866,0.00011465
1.9099,0.00012104
1.9332,0.00012159
1.9564,0.00012718
1.9797,0.00012474
2.003,0.00009082
2.0263,0.0000718
2.0496,0.00007215
2.0729,0.00008102
2.0962,0.00011526
2.1195,0.00013569
2.1428,0.00013897
2.1661,0.0001258
2.1894,0.00014906
2.2126,0.00016531
2.2359,0.00017587
2.2592,0.00017011
2.2825,0.00016158
2.3058,0.00017596
2.3291,0.00019675
2.3524,0.00019793
2.3757,0.00017234
2.399,0.00017124
2.4223,0.00020095
2.4456,0.00021784
2.4688,0.00020122
2.4921,0.00019331
2.5154,0.00018991
2.5387,0.00021154
2.562,0.00023479
2.5853,0.00024174
2.6086,0.00023907
2.6319,0.00024187
2.6552,0.00023592
2.6785,0.00023044
2.7018,0.00023208
2.725,0.0002414
2.7483,0.0002485
2.7716,0.00025403
2.7949,0.00025698
2.8182,0.00025761
2.8415,0.00025758
2.8648,0.00025645
2.8881,0.00027928
2.9114,0.00029247
2.9347,0.00028916
2.958,0.00029067
2.9812,0.00028353
3.0045,0.00027024
3.0278,0.00027465
3.0511,0.00028687
3.0744,0.00027418
3.0977,0.00028185
3.121,0.0002941
3.1443,0.00032267
3.1676,0.00033259
3.1909,0.00033897
3.2142,0.00034414
3.2374,0.00035857
3.2607,0.00037159
3.284,0.00037696
3.3073,0.00037111
3.3306,0.00036058
3.3539,0.00036995
3.3772,0.00039211
3.4005,0.00041112
3.4238,0.00041223
3.4471,0.00041513
3.4704,0.00041272
3.4936,0.00042032
3.5169,0.0004387
3.5402,0.00045374
3.5635,0.00045681
3.5868,0.00047591
3.6101,0.00048397
3.6334,0.00049086
3.6567,0.00051405
3.68,0.00052127
3.7033,0.00052224
3.7266,0.00052005
3.7498,0.00053331
3.7731,0.00055111
5.124,0.00085249
5.1473,0.00085025
5.1706,0.00084196
5.1939,0.00083864
5.2172,0.0008277
5.2405,0.00081493
5.2638,0.00081567
5.287,0.00079514
5.3103,0.00077884
5.3336,0.00079285
5.3569,0.0008149
5.3802,0.00081316
5.4035,0.00080234
5.4268,0.00079085
5.4501,0.00079087
5.4734,0.00077325
5.4967,0.00077315
5.52,0.00079161
5.5432,0.00081825
5.5665,0.00085522
5.5898,0.0008596
5.6131,0.00083723
5.6364,0.0008321
5.6597,0.000837
5.683,0.00084636
5.7063,0.0008641
5.7296,0.00086312
5.7529,0.00085519
5.7762,0.00084557
5.7994,0.00085867
5.8227,0.00087553
5.846,0.00085926
5.8693,0.00084706
5.8926,0.00084498
5.9159,0.00085156
5.9392,0.00085848
5.9625,0.00086109
5.9858,0.00086909
6.0091,0.00086902
6.0324,0.00086278
6.0557,0.00086363
6.0789,0.00087619
6.1022,0.00089044
6.1255,0.00089062
6.1488,0.00087363
6.1721,0.00087556
6.1954,0.00087592
6.2187,0.00088971
6.242,0.00092199
6.2653,0.00092335
6.2886,0.00092184
6.3119,0.00091398
6.3351,0.0009142
6.3584,0.00092347
6.3817,0.0009302
6.405,0.00093
6.4283,0.00092219
6.4516,0.00094422
6.4749,0.00095813
6.4982,0.00095925
6.5215,0.00096735
6.5448,0.00096615
6.5681,0.00096769
6.5913,0.00098899
6.6146,0.00100149
6.6379,0.0010128
6.6612,0.00101547
6.6845,0.00100106
6.7078,0.00100682
6.7311,0.00100474
6.7544,0.00100078
6.7777,0.0010027
6.801,0.00100141
6.8243,0.00099834
6.8475,0.00101114
6.8708,0.00100874
6.8941,0.00100657
6.9174,0.00100735
6.9407,0.00099967
11.0166,0.00102245
11.0399,0.00103903
11.0632,0.00104113
11.0865,0.00105384
11.1098,0.00104885
11.1331,0.00104034
11.1564,0.00103356
11.1797,0.00101869
11.203,0.00100658
11.2262,0.00099186
11.2495,0.0009875
11.2728,0.00098406
11.2961,0.00097463
11.3194,0.00095279
11.3427,0.00095816
11.366,0.00097705
11.3893,0.00097746
11.4126,0.00095731
11.4359,0.00093532
11.4592,0.0009258
11.4824,0.00091738
11.5057,0.00092877
11.529,0.00094295
11.5523,0.00092003
11.5756,0.00090516
11.5989,0.0009196
11.6222,0.0009251
11.6455,0.00090458
11.6688,0.0008878
11.6921,0.00089338
11.7154,0.00087802
11.7386,0.00087567
11.7619,0.0008833
11.7852,0.0008821
11.8085,0.00087818
11.8318,0.00089372
11.8551,0.00090322
11.8784,0.00090052
11.9017,0.00089053
11.925,0.00088544
11.9483,0.00086318
11.9716,0.00086007
11.9948,0.00085369
12.0181,0.00085334
12.0414,0.00085493
12.0647,0.00084471
12.088,0.00082184
12.1113,0.00082003
12.1346,0.00083213
12.1579,0.0008591
12.1812,0.00089427
12.2045,0.0008846
12.2278,0.00085567
12.251,0.00086069
12.2743,0.00087354
12.2976,0.00088578
12.3209,0.00086951
12.3442,0.00084535
13.6718,0.00052747
13.6951,0.0005558
13.7184,0.00054224
13.7417,0.00052455
13.765,0.00053584
13.7883,0.00054367
13.8115,0.00053653
13.8348,0.0005258
13.8581,0.00052637
13.8814,0.00052626
13.9047,0.00050589
13.928,0.00046899
13.9513,0.00045013
13.9746,0.00043577
13.9979,0.00042761
14.0212,0.00043202
14.0445,0.00044567
