Ring	FRC	FRCSmoothed	Threshold
0	1.0000000000000000e+00	1.0002764463424683e+00	1.0000000000000000e+00
1	9.9999976158142090e-01	1.0001213550567627e+00	6.3689416646957397e-01
2	9.9999988079071045e-01	9.9995881319046021e-01	5.2552491426467896e-01
3	9.9992239475250244e-01	9.9979019165039062e-01	4.6707791090011597e-01
4	9.9979650974273682e-01	9.9961495399475098e-01	4.0511482954025269e-01
5	9.9965345859527588e-01	9.9943590164184570e-01	3.8412487506866455e-01
6	9.9943900108337402e-01	9.9925196170806885e-01	3.8369512557983398e-01
7	9.9927294254302979e-01	9.9899655580520630e-01	3.7674495577812195e-01
8	9.9874448776245117e-01	9.9870699644088745e-01	3.5210624337196350e-01
9	9.9845087528228760e-01	9.9838167428970337e-01	3.4462690353393555e-01
10	9.9800437688827515e-01	9.9802345037460327e-01	3.4099304676055908e-01
11	9.9767732620239258e-01	9.9763941764831543e-01	3.3167991042137146e-01
12	9.9737918376922607e-01	9.9723333120346069e-01	3.3217436075210571e-01
13	9.9702084064483643e-01	9.9680715799331665e-01	3.2071670889854431e-01
14	9.9627244472503662e-01	9.9635690450668335e-01	3.0723559856414795e-01
15	9.9594044685363770e-01	9.9587213993072510e-01	3.0595403909683228e-01
16	9.9567449092864990e-01	9.9535161256790161e-01	3.0578273534774780e-01
17	9.9486541748046875e-01	9.9479919672012329e-01	3.0341681838035583e-01
18	9.9443483352661133e-01	9.9424344301223755e-01	3.0174174904823303e-01
19	9.9370968341827393e-01	9.9374723434448242e-01	2.9743704199790955e-01
20	9.9290120601654053e-01	9.9329608678817749e-01	2.8844118118286133e-01
21	9.9234575033187866e-01	9.9284535646438599e-01	2.8765812516212463e-01
22	9.9175751209259033e-01	9.9239981174468994e-01	2.8810906410217285e-01
23	9.9101316928863525e-01	9.9199020862579346e-01	2.8670138120651245e-01
24	9.9421179294586182e-01	9.9160110950469971e-01	2.8363907337188721e-01
25	9.9109554290771484e-01	9.9115806818008423e-01	2.7765259146690369e-01
26	9.8974621295928955e-01	9.9055367708206177e-01	2.7881008386611938e-01
27	9.9047875404357910e-01	9.8973661661148071e-01	2.7618044614791870e-01
28	9.9117434024810791e-01	9.8873549699783325e-01	2.7369973063468933e-01
29	9.8949968814849854e-01	9.8759734630584717e-01	2.7375614643096924e-01
30	9.8639571666717529e-01	9.8637247085571289e-01	2.7206116914749146e-01
31	9.8368906974792480e-01	9.8508942127227783e-01	2.7185633778572083e-01
32	9.8259615898132324e-01	9.8372346162796021e-01	2.6835849881172180e-01
33	9.8266398906707764e-01	9.8231959342956543e-01	2.6583746075630188e-01
34	9.8069632053375244e-01	9.8096990585327148e-01	2.6545345783233643e-01
35	9.7976875305175781e-01	9.7976362705230713e-01	2.6464834809303284e-01
36	9.7837984561920166e-01	9.7877007722854614e-01	2.6228475570678711e-01
37	9.7702431678771973e-01	9.7794789075851440e-01	2.5980427861213684e-01
38	9.7709524631500244e-01	9.7718995809555054e-01	2.6170405745506287e-01
39	9.7489082813262939e-01	9.7655642032623291e-01	2.6181015372276306e-01
40	9.7426748275756836e-01	9.7611403465270996e-01	2.5927132368087769e-01
41	9.7754871845245361e-01	9.7569113969802856e-01	2.5753539800643921e-01
42	9.7704327106475830e-01	9.7508627176284790e-01	2.5589933991432190e-01
43	9.7096705436706543e-01	9.7420519590377808e-01	2.5453034043312073e-01
44	9.7648882865905762e-01	9.7299373149871826e-01	2.5321501493453979e-01
45	9.7964894771575928e-01	9.7146952152252197e-01	2.5475186109542847e-01
