Ring	FRC	FRCSmoothed	Threshold
0	1.0000000000000000e+00	1.0002729892730713e+00	1.0000000000000000e+00
1	9.9999934434890747e-01	1.0000568628311157e+00	6.3152962923049927e-01
2	9.9988079071044922e-01	9.9983328580856323e-01	4.8207694292068481e-01
3	9.9977129697799683e-01	9.9960327148437500e-01	4.4606435298919678e-01
4	9.9958014488220215e-01	9.9936813116073608e-01	4.3200713396072388e-01
5	9.9921333789825439e-01	9.9912816286087036e-01	4.1183629631996155e-01
6	9.9905037879943848e-01	9.9887126684188843e-01	3.8112890720367432e-01
7	9.9872714281082153e-01	9.9843561649322510e-01	3.5517922043800354e-01
8	9.9809277057647705e-01	9.9779391288757324e-01	3.5819590091705322e-01
9	9.9798738956451416e-01	9.9700564146041870e-01	3.5439920425415039e-01
10	9.9741977453231812e-01	9.9615567922592163e-01	3.3754718303680420e-01
11	9.9548530578613281e-01	9.9528050422668457e-01	3.2594624161720276e-01
12	9.9194675683975220e-01	9.9437671899795532e-01	3.2230189442634583e-01
13	9.9331939220428467e-01	9.9338984489440918e-01	3.2620534300804138e-01
14	9.9298477172851562e-01	9.9230873584747314e-01	3.1552582979202271e-01
15	9.9166405200958252e-01	9.9112075567245483e-01	3.0647122859954834e-01
16	9.9178266525268555e-01	9.8977756500244141e-01	3.0929210782051086e-01
17	9.8886442184448242e-01	9.8818671703338623e-01	3.0709904432296753e-01
18	9.8755073547363281e-01	9.8633563518524170e-01	2.9416176676750183e-01
19	9.8411846160888672e-01	9.8435372114181519e-01	2.9101043939590454e-01
20	9.8181211948394775e-01	9.8231285810470581e-01	2.9484653472900391e-01
21	9.7869539260864258e-01	9.8024368286132812e-01	2.9363524913787842e-01
22	9.7781592607498169e-01	9.7811287641525269e-01	2.8877791762351990e-01
23	9.7739112377166748e-01	9.7581773996353149e-01	2.8144839406013489e-01
24	9.7432804107666016e-01	9.7322243452072144e-01	2.8314232826232910e-01
25	9.7317838668823242e-01	9.7009676694869995e-01	2.8303018212318420e-01
26	9.6882247924804688e-01	9.6632403135299683e-01	2.7756810188293457e-01
27	9.6391022205352783e-01	9.6197271347045898e-01	2.7648383378982544e-01
28	9.5926260948181152e-01	9.5735782384872437e-01	2.7294927835464478e-01
29	9.5026236772537231e-01	9.5279765129089355e-01	2.7224561572074890e-01
30	9.4521456956863403e-01	9.4846713542938232e-01	2.7523878216743469e-01
31	9.4029200077056885e-01	9.4442921876907349e-01	2.6869341731071472e-01
32	9.4028919935226440e-01	9.4037979841232300e-01	2.6865419745445251e-01
33	9.3873262405395508e-01	9.3579733371734619e-01	2.6817268133163452e-01
34	9.3562579154968262e-01	9.3028581142425537e-01	2.6248365640640259e-01
35	9.3397474288940430e-01	9.2398911714553833e-01	2.6339283585548401e-01
36	9.2189240455627441e-01	9.1732609272003174e-01	2.6280882954597473e-01
37	9.0697950124740601e-01	9.1028964519500732e-01	2.6481688022613525e-01
38	8.9128494262695312e-01	9.0282678604125977e-01	2.6415354013442993e-01
39	8.9094740152359009e-01	8.9510625600814819e-01	2.5889366865158081e-01
40	8.9543807506561279e-01	8.8772469758987427e-01	2.5705450773239136e-01
41	8.8215947151184082e-01	8.8135313987731934e-01	2.5789234042167664e-01
42	8.7492525577545166e-01	8.7570142745971680e-01	2.5562974810600281e-01
43	8.6701166629791260e-01	8.7010622024536133e-01	2.5457838177680969e-01
44	8.5965108871459961e-01	8.6421006917953491e-01	2.5601691007614136e-01
45	8.6421376466751099e-01	8.5821467638015747e-01	2.5641646981239319e-01
46	8.5163593292236328e-01	8.5254257917404175e-01	2.5469166040420532e-01
47	8.4607911109924316e-01	8.4688574075698853e-01	2.5094398856163025e-01
48	8.4444129467010498e-01	8.4090965986251831e-01	2.4985763430595398e-01
49	8.3186960220336914e-01	8.3446580171585083e-01	2.5242474675178528e-01
50	8.3332914113998413e-01	8.2782065868377686e-01	2.5154516100883484e-01
51	8.1903743743896484e-01	8.2139247655868530e-01	2.4808521568775177e-01
52	8.1468892097473145e-01	8.1508010625839233e-01	2.4689078330993652e-01
53	8.0309009552001953e-01	8.0859839916229248e-01	2.4830764532089233e-01
54	8.0393332242965698e-01	8.0225288867950439e-01	2.4758864939212799e-01
55	7.9684990644454956e-01	7.9607659578323364e-01	2.4506650865077972e-01
56	7.9632949829101562e-01	7.9003542661666870e-01	2.4663913249969482e-01
57	7.7389824390411377e-01	7.8421700000762939e-01	2.4565941095352173e-01
58	7.8488278388977051e-01	7.7877461910247803e-01	2.4440306425094604e-01
59	7.7238690853118896e-01	7.7360916137695312e-01	2.4407146871089935e-01
60	7.5955903530120850e-01	7.6849931478500366e-01	2.4318945407867432e-01
61	7.6366466283798218e-01	7.6368808746337891e-01	2.4482262134552002e-01
62	7.6572895050048828e-01	7.5977259874343872e-01	2.4241995811462402e-01
63	7.5814497470855713e-01	7.5650411844253540e-01	2.3915679752826691e-01
64	7.4236130714416504e-01	7.5292062759399414e-01	2.4043571949005127e-01
65	7.4614858627319336e-01	7.4812650680541992e-01	2.4129186570644379e-01
66	7.5655150413513184e-01	7.4210768938064575e-01	2.4146366119384766e-01
67	7.5362980365753174e-01	7.3566830158233643e-01	2.4079999327659607e-01
68	7.2078132629394531e-01	7.2955691814422607e-01	2.3970976471900940e-01
69	7.1500217914581299e-01	7.2366178035736084e-01	2.3831412196159363e-01
70	7.1195054054260254e-01	7.1724146604537964e-01	2.3721557855606079e-01
71	7.0339912176132202e-01	7.1064084768295288e-01	2.3750516772270203e-01
72	7.0611596107482910e-01	7.0475846529006958e-01	2.3698839545249939e-01
73	7.1595907211303711e-01	6.9929230213165283e-01	2.3693658411502838e-01
