Ring	FRC	FRCSmoothed	Threshold
0	1.0000000000000000e+00	1.0001213550567627e+00	1.0000000000000000e+00
1	9.9999994039535522e-01	9.9996083974838257e-01	6.3152962923049927e-01
2	9.9980199337005615e-01	9.9979764223098755e-01	4.8207694292068481e-01
3	9.9963998794555664e-01	9.9963128566741943e-01	4.4606435298919678e-01
4	9.9948054552078247e-01	9.9946248531341553e-01	4.3200713396072388e-01
5	9.9939686059951782e-01	9.9929004907608032e-01	4.1183629631996155e-01
6	9.9920547008514404e-01	9.9911111593246460e-01	3.8112890720367432e-01
7	9.9908417463302612e-01	9.9886912107467651e-01	3.5517922043800354e-01
8	9.9859309196472168e-01	9.9854677915573120e-01	3.5819590091705322e-01
9	9.9841254949569702e-01	9.9812966585159302e-01	3.5439920425415039e-01
10	9.9829459190368652e-01	9.9763196706771851e-01	3.3754718303680420e-01
11	9.9742555618286133e-01	9.9707710742950439e-01	3.2594624161720276e-01
12	9.9621653556823730e-01	9.9647533893585205e-01	3.2230189442634583e-01
13	9.9559807777404785e-01	9.9579304456710815e-01	3.2620534300804138e-01
14	9.9511778354644775e-01	9.9498456716537476e-01	3.1552582979202271e-01
15	9.9445474147796631e-01	9.9406927824020386e-01	3.0647122859954834e-01
16	9.9413245916366577e-01	9.9309927225112915e-01	3.0929210782051086e-01
17	9.9264860153198242e-01	9.9208825826644897e-01	3.0709904432296753e-01
18	9.9031811952590942e-01	9.9098050594329834e-01	2.9416176676750183e-01
19	9.8952019214630127e-01	9.8975211381912231e-01	2.9101043939590454e-01
20	9.8865842819213867e-01	9.8846060037612915e-01	2.9484653472900391e-01
21	9.8797535896301270e-01	9.8715811967849731e-01	2.9363524913787842e-01
22	9.8565733432769775e-01	9.8586416244506836e-01	2.8877791762351990e-01
23	9.8389554023742676e-01	9.8450481891632080e-01	2.8144839406013489e-01
24	9.8390090465545654e-01	9.8299914598464966e-01	2.8314232826232910e-01
25	9.8173081874847412e-01	9.8137581348419189e-01	2.8303018212318420e-01
26	9.8059296607971191e-01	9.7969990968704224e-01	2.7756810188293457e-01
27	9.7812455892562866e-01	9.7798651456832886e-01	2.7648383378982544e-01
28	9.7547984123229980e-01	9.7621071338653564e-01	2.7294927835464478e-01
29	9.7407054901123047e-01	9.7442185878753662e-01	2.7224561572074890e-01
30	9.7285532951354980e-01	9.7272598743438721e-01	2.7523878216743469e-01
31	9.7068285942077637e-01	9.7116738557815552e-01	2.6869341731071472e-01
32	9.6868669986724854e-01	9.6970885992050171e-01	2.6865419745445251e-01
33	9.6830916404724121e-01	9.6822571754455566e-01	2.6817268133163452e-01
34	9.6730649471282959e-01	9.6655791997909546e-01	2.6248365640640259e-01
35	9.6634668111801147e-01	9.6462404727935791e-01	2.6339283585548401e-01
36	9.6413254737854004e-01	9.6237123012542725e-01	2.6280882954597473e-01
37	9.6182847023010254e-01	9.5976305007934570e-01	2.6481688022613525e-01
38	9.5676004886627197e-01	9.5676130056381226e-01	2.6415354013442993e-01
39	9.5399665832519531e-01	9.5344579219818115e-01	2.5889366865158081e-01
40	9.4918787479400635e-01	9.5001941919326782e-01	2.5705450773239136e-01
41	9.4714415073394775e-01	9.4672930240631104e-01	2.5789234042167664e-01
42	9.4157880544662476e-01	9.4363963603973389e-01	2.5562974810600281e-01
43	9.3917608261108398e-01	9.4064217805862427e-01	2.5457838177680969e-01
44	9.3677413463592529e-01	9.3745166063308716e-01	2.5601691007614136e-01
